tb1y,tb2y,tb3y,tb5y,tb7y,tb10y,tb20y,tb30y,cpi,aaaboa,aaadefault,aaboa,aadefault,aboa,adefault,bbbboa,bbbdefault,sp500d,sp500,spmidd,spmid,spsmalld,spsmall,spdivd,spdiv,ereitinc,ereit,mreitinc,mreitret,wage,Unemploy,gdpgr,sponsor
0.59,0.77,0.88,1.14,1.42,1.6,1.99,2.32,0.485319502,0.87,0,0.61,0,0.93,0,1.7,0,2.03,3.307029028,1.899195407,3.56115405,1.215041735,6.832460201,3.250872458,0.480772754,0.88,-2.097348497,2.8,2.118959728,0.972911334,4.9,0.735270088,-5.177887548
0.85,1.2,1.47,1.93,2.25,2.45,2.79,3.06,0.753093284,0.59,0,0.29,0,0.63,0,1.33,0,2.03,3.254209916,2.056828813,6.870912364,1.74322027,10.76923221,3.254489363,3.360949857,0.96,-4.198544967,2.75,-0.55541584,0.599702629,4.7,0.286247449,7.494932225
