gdpgr,pconsump,cpi,Unemploy,m3tb,tb10y,aa10y,gpdinv
0.735270088,1.099056938,0.485319502,4.9,0.2739,1.6,0.9535,0.994142259
0.286247449,1.377004722,0.753093284,4.7,0.4974,2.45,0.9154,2.790666843
