gdpgr,pconsump,cpi,Unemploy,m3tb,tb10y,aa10y,gpdinv,const,residual
-0.482837455,0.49060818,-0.454127874,-0.0434729131,-0.0736826421,0.0574207287,-0.2484957521,0.0929757399,0.8344821478,0.5853
0.0820977155,-0.0331507549,0.1018711371,0.0120621361,0.0568184142,-0.0214442383,-0.5351172294,-0.0031220998,1.5750965825,0.5018
0.1371158894,0.0465472175,-0.0273117792,0.0907415975,0.1282400582,-0.0875482539,-0.2161779144,-0.0555171077,0.2683568644,0.5859
-0.0177360618,-0.1345705011,0.0188248322,0.9398344914,-0.0311527218,0.0895833073,0.2861982275,-0.0129396754,-0.1180935457,0.1973
0.075826388,0.0384975834,-0.0857826868,-0.0147327511,0.9242099856,0.0311774835,-0.1514053489,0.0078763305,0.2152523604,0.4328
0.0229485653,-0.0030645724,-0.0597674352,0.0287894895,0.071092416,0.862561273,-0.1361977259,-0.0242493102,0.4064322993,0.5201
-0.0932991684,0.0934689913,-0.0302911692,-0.0686237824,-0.0267287863,0.0161796268,1.021107845,0.0393757681,0.3007192821,0.3131
-1.239599394,3.6720615509,-1.7904774159,0.7083884681,0.0637676416,-0.2643103377,-1.6178228617,0.1455030787,-3.0832431213,1.947
